Category,SubCategory,Noun,Description
People & Characters,Historical Figures,Albert Einstein,Legendary physicist known for the theory of relativity and E=mc2.
People & Characters,Historical Figures,Cleopatra,The last active ruler of the Ptolemaic Kingdom of Egypt.
People & Characters,Historical Figures,Napoleon,French military leader and emperor who conquered much of Europe.
People & Characters,Historical Figures,Amelia Earhart,Pioneering aviator who mysteriously disappeared while flying across the globe.
People & Characters,Historical Figures,Gandhi,Leader of Indian independence known for nonviolent civil disobedience.
People & Characters,Historical Figures,Joan of Arc,French heroine and saint who led armies during the Hundred Years' War.
People & Characters,Historical Figures,Leonardo da Vinci,Renaissance polymath who painted the Mona Lisa and designed inventions.
People & Characters,Historical Figures,Marie Curie,Physicist and chemist who conducted pioneering research on radioactivity.
People & Characters,Historical Figures,George Washington,First U.S. President and commander of the Continental Army.
People & Characters,Historical Figures,Harriet Tubman,Abolitionist who led enslaved people to freedom via the Underground Railroad.
People & Characters,Historical Figures,Genghis Khan,"Founder of the Mongol Empire, the largest contiguous empire ever."
People & Characters,Historical Figures,Winston Churchill,British Prime Minister who led the UK during World War II.
People & Characters,Historical Figures,Nefertiti,Egyptian queen known for her beauty and powerful political role.
People & Characters,Historical Figures,Abraham Lincoln,16th U.S. President who preserved the Union and abolished slavery.
People & Characters,Historical Figures,Rosa Parks,Civil rights activist famous for her pivotal role in the Montgomery bus boycott.
People & Characters,Historical Figures,Aristotle,"Ancient Greek philosopher and scientist, student of Plato and teacher of Alexander."
People & Characters,Historical Figures,Queen Elizabeth I,Powerful Tudor monarch who presided over England's Golden Age.
People & Characters,Historical Figures,Martin Luther King Jr.,Civil rights leader famous for his 'I Have a Dream' speech.
People & Characters,Historical Figures,Marco Polo,Venetian merchant traveler who documented his travels to Central Asia.
People & Characters,Historical Figures,Catherine the Great,Empress of Russia who expanded the empire and modernized its culture.
,,,
People & Characters,Fictional Icons,Sherlock Holmes,Brilliantly logical detective famous for solving crimes in London.
People & Characters,Fictional Icons,Harry Potter,The Boy Who Lived and hero of Hogwarts wizarding school.
People & Characters,Fictional Icons,Wonder Woman,Amazonian princess and superhero fighting for justice and peace.
People & Characters,Fictional Icons,Darth Vader,Iconic Star Wars villain and fallen Jedi Knight.
People & Characters,Fictional Icons,Alice in Wonderland,Curious girl who falls down a rabbit hole into a dreamworld.
People & Characters,Fictional Icons,Batman,Caped Crusader of Gotham City who fights crime with gadgets.
People & Characters,Fictional Icons,Mickey Mouse,"The cheerful, long-running face of the Disney empire."
People & Characters,Fictional Icons,Katniss Everdeen,Skilled archer and symbol of rebellion in The Hunger Games.
People & Characters,Fictional Icons,Dracula,Legendary vampire count from Transylvania who fears garlic and sunlight.
People & Characters,Fictional Icons,Hermione Granger,Highly intelligent and loyal witch from the Harry Potter series.
People & Characters,Fictional Icons,Frodo Baggins,Brave hobbit who carried the One Ring to Mount Doom.
People & Characters,Fictional Icons,Mary Poppins,Magical nanny who is practically perfect in every way.
People & Characters,Fictional Icons,James Bond,Suave British secret agent also known by his code number 007.
People & Characters,Fictional Icons,Elsa,Queen of Arendelle with powerful magical ice and snow abilities.
People & Characters,Fictional Icons,Spider-Man,Web-slinging hero who fights crime after being bitten by a spider.
People & Characters,Fictional Icons,Robin Hood,Heroic outlaw who steals from the rich to give to the poor.
People & Characters,Fictional Icons,Winnie the Pooh,Gentle bear from the Hundred Acre Wood who loves honey.
People & Characters,Fictional Icons,Cinderella,Kind-hearted girl who goes from rags to riches with magic.
People & Characters,Fictional Icons,Captain Kirk,Bold commander of the starship USS Enterprise in Star Trek.
People & Characters,Fictional Icons,Pikachu,"The yellow, electric-powered mascot of the Pokémon franchise."
,,,
People & Characters,Modern Celebrities,Taylor Swift,Global pop superstar known for her songwriting and Eras Tour.
People & Characters,Modern Celebrities,Tom Hanks,Beloved American actor famous for roles in Forrest Gump and Toy Story.
People & Characters,Modern Celebrities,Beyoncé,Multi-platinum singer and performer often referred to as Queen Bey.
People & Characters,Modern Celebrities,"Dwayne ""The Rock"" Johnson",Former pro wrestler turned massive Hollywood action movie star.
People & Characters,Modern Celebrities,Zendaya,Acclaimed actress and fashion icon known for Euphoria and Dune.
People & Characters,Modern Celebrities,Keanu Reeves,Actor known for the Matrix and John Wick series and his kindness.
People & Characters,Modern Celebrities,Oprah Winfrey,"Media mogul, talk show host, and influential philanthropist."
People & Characters,Modern Celebrities,Lionel Messi,Argentine soccer legend widely considered one of the greatest ever.
People & Characters,Modern Celebrities,Serena Williams,Dominant tennis champion with twenty-three Grand Slam singles titles.
People & Characters,Modern Celebrities,Ryan Reynolds,Actor famous for his wit and playing the superhero Deadpool.
People & Characters,Modern Celebrities,Rihanna,Barbadian singer and entrepreneur behind the Fenty Beauty brand.
People & Characters,Modern Celebrities,Lady Gaga,Versatile pop singer and actress known for her theatrical style.
People & Characters,Modern Celebrities,Elon Musk,"Tech billionaire behind companies like Tesla, SpaceX, and X."
